feature_set,task_type,model,accuracy,f1_score,precision,recall,auc_roc,cv_mean,cv_std
financial_only,binary,random_forest,0.9787749287749288,0.9793141746494516,0.9882319977584758,0.9705558613098514,0.998651656063151,0.9772775532570723,0.0016193786051809564
financial_only,binary,gradient_boosting,0.9757834757834758,0.976237070170534,0.9920454545454546,0.9609246009906439,0.9986577512831658,0.9763515702496111,0.0007678528492527903
financial_only,binary,logistic_regression,0.8056980056980056,0.7976861465440522,0.8651866151866152,0.7399559713813979,0.8686638562555324,0.7988819947079074,0.004331225457516023
financial_only,binary,svm,0.8133903133903134,0.7895244215938303,0.9486486486486486,0.6761144744083655,0.8978600820302836,0.81198837819942,0.005208996771843316
financial_only,multiclass,random_forest,0.9376068376068376,0.9373111648639953,0.9374249680843869,0.9376068376068376,0.9949829156995713,0.934753154071943,0.002535656984721687
financial_only,multiclass,gradient_boosting,0.9075498575498575,0.9061917533169902,0.9062537401241518,0.9075498575498575,0.9893066083588957,0.9060118653484637,0.00425720848667726
financial_only,multiclass,logistic_regression,0.5282051282051282,0.49641050604769077,0.5297607842027214,0.5282051282051282,0.8290792111662417,0.5307002572474523,0.00469724395023403
financial_only,multiclass,svm,0.5820512820512821,0.5455485860347767,0.5789572798530799,0.5820512820512821,0.8611500534957328,0.5788876394375058,0.0030439098198354626
all,binary,random_forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,binary,gradient_boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,binary,logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,binary,svm,0.9988603988603989,0.9989004947773502,0.9978034047226798,1.0,0.999999634286799,0.9991452420637639,0.00034528223896957224
all,multiclass,random_forest,0.9491452991452991,0.9487862802091762,0.9494377846086949,0.9491452991452991,0.9964158350966208,0.945508951653208,0.0022151350374294853
all,multiclass,gradient_boosting,0.9594017094017094,0.9592853311873332,0.9595757902690494,0.9594017094017094,0.9973213308999025,0.9590426094633573,0.0026227400115889435
all,multiclass,logistic_regression,0.6958689458689459,0.6820116267246963,0.6781181679707702,0.6958689458689459,0.9267350717881738,0.6947077805938001,0.0056915418974727615
all,multiclass,svm,0.7112535612535612,0.6941017052157105,0.718456173205795,0.7112535612535612,0.9329415488645235,0.7080634137802437,0.004331294022277566
